| Category   | Item                                       |     Quantity | Recommended specification                          | Priority               | Notes                                                   |
| Sensors    | Cliff sensors                              |       2 to 4 | Infrared downward-facing sensors                   | Recommended            | Helps avoid stairs and drops                            |
| Sensors    | Limit switches                             |            2 | Small lever-type switches                          | Optional               | Can detect physical contact                             |
| Vision     | Raspberry Pi Camera Module 3 Wide          |            1 | Wide-angle version                                 | Required for AI vision | Used for object and marker detection                    |
| Vision     | CSI camera ribbon cable                    |            1 | Correct length for the chassis                     | Required               | Connects the camera to the Raspberry Pi                 |
| Vision     | Adjustable camera mount                    |            1 | 3D-printed                                         | Required               | Should allow vertical angle adjustment                  |
| Navigation | AprilTags or ArUco markers                 |      Several | Printed on matte paper or card                     | Future feature         | Used for room and waypoint navigation                   |
| Audio      | USB microphone                             |            1 | Linux-compatible                                   | Future feature         | Simplest option for voice commands                      |
| Audio      | USB speaker                                |            1 | Compact, Raspberry Pi-compatible                   | Future feature         | Used for sounds and spoken messages                     |
| Audio      | Small amplifier and speaker                |        1 set | Alternative to USB speaker                         | Optional               | Requires additional wiring                              |
| Audio      | Buzzer                                     |            1 | 3.3 V or transistor-driven                         | Recommended            | Simple alerts and status sounds                         |
| Lighting   | Status LEDs                                |       3 to 5 | Different colors                                   | Recommended            | Power, error, mode and connection indicators            |
| Lighting   | LED resistors                              |        1 set | Values matched to selected LEDs                    | Required with LEDs     | Protects LEDs and GPIO pins                             |
| Lighting   | LED strip or LED ring                      |            1 | 5 V addressable type                               | Optional               | Visual robot status effects                             |
| Wiring     | Flexible electrical wire                   | 1 assortment | Multiple gauges                                    | Required               | Thicker wire for motors and battery                     |
| Wiring     | Dupont jumper wires                        |        1 set | Male and female assortment                         | Prototyping only       | Avoid for motor or battery power                        |
| Wiring     | JST connector kit                          | 1 assortment | Matching crimp terminals and housings              | Recommended            | Makes wiring removable and tidy                         |
| Wiring     | Screw terminals                            |      Several | Rated for expected current                         | Recommended            | Useful for motors and power distribution                |
| Wiring     | Heat-shrink tubing                         | 1 assortment | Multiple diameters                                 | Required               | Insulates soldered connections                          |
| Wiring     | Cable ties                                 |       1 pack | Small sizes                                        | Required               | Cable management                                        |
| Wiring     | Cable-tie mounts                           |      Several | Adhesive or screw-mounted                          | Optional               | Helps organize the chassis                              |
| Wiring     | Perfboard or custom distribution PCB       |            1 | Suitable size                                      | Recommended            | Better than a breadboard for final assembly             |
| Wiring     | Breadboard                                 |            1 | Standard solderless board                          | Prototyping only       | Use only during early testing                           |
| Wiring     | Ferrules                                   | 1 assortment | Match wire sizes                                   | Recommended            | Improves screw-terminal connections                     |
| Wiring     | Electrical tape                            |       1 roll | Quality insulation tape                            | Recommended            | Supplementary insulation only                           |
| Chassis    | PETG filament                              |    1 to 2 kg | 1.75 mm                                            | Required               | Better heat and impact resistance than basic PLA        |
| Chassis    | M3 screws                                  | 1 assortment | Several lengths                                    | Required               | Used throughout the chassis                             |
| Chassis    | M3 DIN 934 hex nuts                        | 1 assortment | Standard steel nuts                                | Required               | Compatible with captive nut pockets                     |
| Chassis    | M3 washers                                 | 1 assortment | Standard flat washers                              | Recommended            | Spreads mechanical load                                 |
| Chassis    | M3 lock nuts                               |      Several | Nylon-insert type                                  | Recommended            | Useful in vibrating areas                               |
| Chassis    | M3 heat-set inserts                        |     30 to 60 | Match printed pocket dimensions                    | Recommended            | Allows repeated assembly                                |
| Chassis    | M2.5 or M3 standoffs                       |        1 set | Plastic or metal                                   | Required               | Mounts the Raspberry Pi and electronics                 |
| Chassis    | Velcro straps                              |       2 to 3 | Reusable                                           | Required               | Battery and cable retention                             |
| Chassis    | Rubber pads                                |      Several | Small adhesive pads                                | Optional               | Reduces vibration                                       |
| Chassis    | Fan guard                                  |            1 | Match fan size                                     | Recommended            | Protects fingers and cables                             |
| Tools      | Multimeter                                 |            1 | Digital                                            | Required               | Essential for electrical testing                        |
| Tools      | Screwdriver set                            |            1 | Small electronics sizes                            | Required               | Assembly and maintenance                                |
| Tools      | Caliper                                    |            1 | Digital or mechanical                              | Recommended            | Checks printed dimensions and hardware fit              |
| Tools      | Soldering iron                             |            1 | Temperature-controlled                             | Required               | Permanent electrical connections                        |
| Tools      | Soldering-iron stand                       |            1 | Heat-resistant                                     | Required               | Safer soldering                                         |
| Tools      | Desoldering braid or pump                  |            1 | Standard electronics type                          | Recommended            | Fixes soldering mistakes                                |
| Tools      | Helping hands                              |            1 | Adjustable clips                                   | Recommended            | Holds wires while soldering                             |
| Tools      | Wire cutters                               |            1 | Small electronics type                             | Required               | Cuts wires and leads                                    |
| Tools      | Wire stripper                              |            1 | Suitable for selected wire gauges                  | Required               | Prepares electrical wires                               |
| Tools      | JST crimping tool                          |            1 | Compatible with selected terminals                 | Recommended            | Makes reliable connectors                               |
| Tools      | Safety glasses                             |            1 | Impact-resistant                                   | Required               | For soldering and assembly                              |
| Tools      | USB power meter                            |            1 | USB voltage/current display                        | Optional               | Useful for Raspberry Pi power testing                   |
